"Accept","Aceptar"
"Additional CSS.","CSS Adicional."
"Additional Javascript.","Javascript Adicional."
"Below a list of things that I expect to implement in the next version of GDPL module:","A continuación, se muestra una lista de cosas que espero implementar en la próxima versión de este módulo:<br>
                     - crear la opción de cliente para eliminar la cuenta propia<br>
                     - deje el tiempo/retraso configurable para mostrar el mensaje<br>
                     - hacer que el botón de aceptar términos sea configurable<br><br>
                     Si tiene alguna otra idea, comuníquese conmigo en <a href='https://es.mariosam.eu/contacto/' target='_blank'>Mario SAM</a>.<br>
                     Si te encantó este módulo GRATUITO, también puedes ayudarme con una donación en <a href='https://www.patreon.com/MarioSAM' target='_blank'>Patreon</a>. ¡Gracias!"
"Bottom Line","Línea de Fondo"
"Cookie Lifetime","Duración de la Cookie"
"Custom CSS","CSS Personalizado"
"Custom Javascript","Javascript Personalizado"
"Enable","Habilitar"
"Expected for the next versions","Esperado para las próximas versiones"
"GDPL Settings","Configuración de GDPR"
"Header Line","Línea de Cabecera"
"How to use GDPL? Access the Mario SAM blog and read the post.","¿Cómo utilizar? Accede al blog de <a href='https://es.mariosam.eu' target='_blank'>Mario SAM</a> y lee la publicación."
"In seconds. ex.: 3600 (1 hour); 86400 (1 day); 604800 (1 week).","En segundos. ej.: 3600 (1 hora); 86400 (1 día); 604800 (1 semana)."
"LGPD Settings","Configuración de GDPR"
"Message Alert","Mensaje de Alerta"
"No","No"
"Screen Position","Posición de la Pantalla"
"User Frontend Message","Mensaje de Interfaz de Usuario"
"Where do you want to show this message?","¿Dónde quieres mostrar este mensaje?"
"Yes","Si"
"You can customize this message.","Puede personalizar este mensaje."