"Accept","J'accepte"
"Additional CSS.","CSS Supplémentaire."
"Additional Javascript.","Javascript Supplémentaire."
"Below a list of things that I expect to implement in the next version of GDPL module:","Ci-dessous une liste de choses que je compte implémenter dans la prochaine version de ce module:<br>
                     - créer une option client pour supprimer son propre compte<br>
                     - laissez le temps/délai configurable pour afficher le message<br>
                     - rendre le bouton d'acceptation des conditions configurable<br><br>
                     Si vous avez une autre idée, veuillez me contacter dans <a href='https://fr.mariosam.eu/contacter/' target='_blank'>Mario SAM</a>.<br>
                     Si vous avez aimé ce module GRATUIT, vous pouvez également m'aider en faisant un don sur <a href='https://www.patreon.com/MarioSAM' target='_blank'>Patreon</a>. Je vous remercie!"
"Bottom Line","Conclusion."
"Cookie Lifetime","Durée de Vie du Cookie"
"Custom CSS","CSS Personnalisé"
"Custom Javascript","Javascript Personnalisé"
"Enable","Activer"
"Expected for the next versions","Attendu pour les prochaines versions"
"GDPL Settings","Paramètres GDPR"
"Header Line","Ligne d'En-tête"
"How to use GDPL? Access the Mario SAM blog and read the post.","Comment utiliser? Accédez au blog <a href='https://fr.mariosam.eu' target='_blank'>Mario SAM</a> et lisez l'article."
"In seconds. ex.: 3600 (1 hour); 86400 (1 day); 604800 (1 week).","En secondes. ex.: 3600 (1 heure); 86400 (1 jour); 604800 (1 semaine)."
"LGPD Settings","Paramètres GDPR"
"Message Alert","Message d'Alerte"
"No","Non"
"Screen Position","Position de l'écran"
"User Frontend Message","Message de l'Interface Utilisateur"
"Where do you want to show this message?","Où souhaitez-vous afficher ce message?"
"Yes","Oui"
"You can customize this message.","Vous pouvez personnaliser ce message."