"Accept","Entendi"
"Additional CSS.","Adicione código CSS."
"Additional Javascript.","Adicione código Javascript."
"Below a list of things that I expect to implement in the next version of GDPL module:","Abaixo uma lista de coisas que eu espero implementar nas próximas versões deste módulo:<br>
                    - criar opção do cliente excluir a própria conta<br>
                    - deixar configurável o tempo/delay para exibir a mensagem<br>
                    - deixar configurável o botão de aceitar os termos<br><br>
                    Se você tem outras idéias ou sugestões, entre em contato <a href='https://mariosam.com.br/contato/' target='_blank'>Mario SAM</a>.<br>
                    Se você adorou este módulo gratuito, pode me recompensar com uma doação no <a href='https://www.padrim.com.br/mariosam' target='_blank'>Padrim</a>. Obrigado!"
"Bottom Line","Rodapé da Página"
"Cookie Lifetime","Tempo de Vida do Cookie"
"Custom CSS","CSS Customizado"
"Custom Javascript","Javascript Customizado"
"Enable","Habilitar"
"Expected for the next versions","Esperado para as próximas versões"
"GDPL Settings","Termos LGPD"
"Header Line","Topo da Página"
"How to use GDPL? Access the Mario SAM blog and read the post.","Como usar? Acesse o blog <a href='https://mariosam.com.br/versao2/modulo-m2-lgpd' target='_blank'>Mario SAM</a> e leia o artigo."
"In seconds. ex.: 3600 (1 hour); 86400 (1 day); 604800 (1 week).","Em segundos. ex.: 3600 (1 hora); 86400 (1 dia); 604800 (1 semana)."
"LGPD Settings","Termos LGPD"
"Message Alert","Mensagem de Aviso"
"No","Não"
"Screen Position","Posição na Tela"
"User Frontend Message","Configurações da Mensagem"
"Where do you want to show this message?","Onde você deseja exibir a mensagem?"
"Yes","Sim"
"You can customize this message.","Você pode customizar esta mensagem."